Tipologia di rifiuto differenziato,Anno,Territorio,Tipo dato,0,Flags
"totale","2012","Cuneo","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",43.89074,
"totale","2000","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2001","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2003","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2004","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2005","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2006","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2007","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Cuneo","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",69.31356,
"totale","2001","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",94.99816,
"totale","2002","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",114.99436,
"totale","2003","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",145.74853,
"totale","2004","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",198.35828,
"totale","2005","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",299.34089,
"totale","2006","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",315.82506,
"totale","2007","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",311.20814,
"totale","2008","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",325.10894,
"totale","2009","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",348.20164,
"totale","2010","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",319.13953,
"totale","2011","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",316.47532,
"totale","2012","Asti","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",308.6053,
"totale","2000","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",14.57336,
"totale","2001","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",19.79567,
"totale","2002","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",22.63713,
"totale","2003","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",29.13134,
"totale","2004","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",40.58871,
"totale","2005","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",62.68823,
"totale","2006","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",66.10087,
"totale","2007","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",61.63232,
"totale","2008","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",63.35701,
"totale","2009","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",64.62609,
"totale","2010","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",62.49339,
"totale","2011","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",62.91721,
"totale","2012","Asti","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",61.42543,
"totale","2000","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2001","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2003","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2004","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2005","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2006","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2007","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Asti","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",173.61048,
"totale","2001","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",171.30774,
"totale","2002","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",176.91915,
"totale","2003","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",162.38047,
"totale","2004","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",190.51629,
"totale","2005","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",190.14303,
"totale","2006","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",256.05045,
"totale","2007","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",304.90185,
"totale","2008","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",288.63738,
"totale","2009","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",285.47296,
"totale","2010","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",289.29283,
"totale","2011","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",302.9084,
"totale","2012","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",275.75196,
"totale","2000","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",28.36993,
"totale","2001","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",27.20934,
"totale","2002","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",27.74556,
"totale","2003","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",26.08741,
"totale","2004","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",29.28945,
"totale","2005","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",30.78828,
"totale","2006","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",40.91298,
"totale","2007","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",52.27586,
"totale","2008","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",51.30749,
"totale","2009","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",49.54372,
"totale","2010","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",49.47037,
"totale","2011","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",51.0927,
"totale","2012","Alessandria","raccolta differenziata dei rifiuti urbani per i comuni - percentuale",49.15791,
"totale","2000","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2001","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2002","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2003","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2004","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2005","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2006","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2007","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2008","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2009","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2010","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2011","Alessandria","popolazione servita dalla raccolta differenziata - percentuale",100,
"totale","2000","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",143.65857,
"totale","2001","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",158.64868,
"totale","2002","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",162.87898,
"totale","2003","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",180.59588,
"totale","2004","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",195.21615,
"totale","2005","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",193.78005,
"totale","2006","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",184.78734,
"totale","2007","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",196.42624,
"totale","2008","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",307.11987,
"totale","2009","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",294.64293,
"totale","2010","Biella","raccolta differenziata dei rifiuti urbani per i comuni (rispetto agli abitanti) - chili",297.13426,
